CaseID,Activity,Timestamp,Lifecycle
Job_1,MACHINE_1,1.544903,QUEUE_ENTER
Job_1,MACHINE_1,1.544903,START
Job_2,MACHINE_1,4.182403,QUEUE_ENTER
Job_2,MACHINE_1,4.182403,START
Job_3,MACHINE_1,4.606211,QUEUE_ENTER
Job_3,MACHINE_1,4.606211,START
Job_4,MACHINE_1,4.716469,QUEUE_ENTER
Job_4,MACHINE_1,4.716469,START
Job_5,MACHINE_1,5.334589,QUEUE_ENTER
Job_5,MACHINE_1,5.334589,START
Job_6,MACHINE_1,6.076815,QUEUE_ENTER
Job_6,MACHINE_1,6.076815,START
Job_7,MACHINE_1,7.609683,QUEUE_ENTER
Job_7,MACHINE_1,7.609683,START
Job_8,MACHINE_1,7.829442,QUEUE_ENTER
Job_8,MACHINE_1,7.829442,START
Job_5,MACHINE_1,9.491413,COMPLETE
Job_5,MACHINE_2,9.491413,QUEUE_ENTER
Job_5,MACHINE_2,9.491413,START
Job_1,MACHINE_1,9.639431,COMPLETE
Job_1,MACHINE_2,9.639431,QUEUE_ENTER
Job_1,MACHINE_2,9.639431,START
Job_2,MACHINE_1,9.822818,COMPLETE
Job_2,MACHINE_2,9.822818,QUEUE_ENTER
Job_2,MACHINE_2,9.822818,START
Job_9,MACHINE_1,9.885161,QUEUE_ENTER
Job_9,MACHINE_1,9.885161,START
Job_10,MACHINE_1,10.014408,QUEUE_ENTER
Job_10,MACHINE_1,10.014408,START
Job_5,MACHINE_2,10.154156,COMPLETE
Job_5,MACHINE_3,10.154156,QUEUE_ENTER
Job_5,MACHINE_3,10.154156,START
Job_1,MACHINE_2,10.581738,COMPLETE
Job_1,MACHINE_3,10.581738,QUEUE_ENTER
Job_1,MACHINE_3,10.581738,START
Job_3,MACHINE_1,10.856077,COMPLETE
Job_3,MACHINE_2,10.856077,QUEUE_ENTER
Job_3,MACHINE_2,10.856077,START
Job_2,MACHINE_2,11.072674,COMPLETE
Job_2,MACHINE_3,11.072674,QUEUE_ENTER
Job_2,MACHINE_3,11.072674,START
Job_4,MACHINE_1,11.214501,COMPLETE
Job_4,MACHINE_2,11.214501,QUEUE_ENTER
Job_4,MACHINE_2,11.214501,START
Job_3,MACHINE_2,11.760573,COMPLETE
Job_3,MACHINE_3,11.760573,QUEUE_ENTER
Job_3,MACHINE_3,11.760573,START
Job_11,MACHINE_1,11.824455,QUEUE_ENTER
Job_11,MACHINE_1,11.824455,START
Job_7,MACHINE_1,12.165893,COMPLETE
Job_7,MACHINE_2,12.165893,QUEUE_ENTER
Job_7,MACHINE_2,12.165893,START
Job_6,MACHINE_1,12.226677,COMPLETE
Job_6,MACHINE_2,12.226677,QUEUE_ENTER
Job_6,MACHINE_2,12.226677,START
Job_4,MACHINE_2,12.291244,COMPLETE
Job_4,MACHINE_3,12.291244,QUEUE_ENTER
Job_4,MACHINE_3,12.291244,START
Job_9,MACHINE_1,12.531701,COMPLETE
Job_9,MACHINE_2,12.531701,QUEUE_ENTER
Job_9,MACHINE_2,12.531701,START
Job_7,MACHINE_2,13.008441,COMPLETE
Job_7,MACHINE_3,13.008441,QUEUE_ENTER
Job_7,MACHINE_3,13.008441,START
Job_6,MACHINE_2,13.014767,COMPLETE
Job_6,MACHINE_3,13.014767,QUEUE_ENTER
Job_6,MACHINE_3,13.014767,START
